id,created_at,text,event_date,sender_id,msg_id,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code
207,,,11/12/2022,,,BUANGKOK FLYOVER,flash_flood,,,,,1.37684,103.910119,533952,,,
208,,,30/3/2023,,,KRAMAT LANE,flash_flood,,,,,1.300979,103.842274,228750,,,
209,,,30/3/2023,,,CAVENAGH ROAD,flash_flood,,,,,1.308095,103.84214,229491,,,
210,,,20/7/2023,,,42059 (BUS STOP),flash_flood,,,,,1.336445,103.782762,596288,,,
211,,,28/11/2023,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
212,,,3/2/2024,,,DUNEARN ROAD,flash_flood,,,,,1.321188,103.825058,297753,,,
213,,,14/10/2024,,,DUNEARN ROAD,flash_flood,,,,,1.321188,103.825058,297753,,,
214,2025-09-07 06:01:33.360476+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: TPE (Punggol West Flyover) [15:28 hours]",16/11/2024,-1.00E+12,986,TPE (Punggol West Flyover),flash_flood_risk,Tampines Expressway Punggol West Flyover,,,Tampines Expressway Punggol West Flyover,1.379707,103.915978,533760,,,
215,,,29/12/2024,,,DUNEARN ROAD,flash_flood,,,,,1.321188,103.825058,297753,,,
216,2025-09-07 06:01:32.600341+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: PIE (towards Changi Airport) after TPE [07:40 hours]",19/3/2025,-1.00E+12,1114,PIE (towards Changi Airport) after TPE,flash_flood_risk,Pan Island Expressway towards Changi Airport,Tampines Expressway,,Pan Island Expressway towards Changi Airport to Tampines Expressway,1.339305,103.974505,486769,1.3704809,103.9415043,519961
217,2025-09-07 06:01:32.737076+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Mountbatten Road / Jalan Seaview [14:45 hours]",19/3/2025,-1.00E+12,1113,Mountbatten Road / Jalan Seaview,flash_flood_risk,Mountbatten Road,Jalan Seaview,,Mountbatten Road and Jalan Seaview,1.3028098,103.8996285,439970,1.3008882,103.896421,438386
218,2025-09-07 06:01:32.277088+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: ECP (towards Changi Airport) after Bayshore Rd Exit [13:40 hours]",20/3/2025,-1.00E+12,1120,ECP (towards Changi Airport) after Bayshore Rd Exit,flash_flood_risk,East Coast Parkway towards Changi Airport,Bayshore Road Slip,,East Coast Parkway towards Changi Airport to Bayshore Road Slip,1.338224,103.980555,819665,1.312132,103.939068,469986
219,2025-09-07 06:01:32.144474+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Mountbatten Road/Jalan Seaview [13:50 hours]",20/3/2025,-1.00E+12,1121,Mountbatten Road/Jalan Seaview,flash_flood_risk,Mountbatten Road,Jalan Seaview,,Mountbatten Road and Jalan Seaview,1.3028098,103.8996285,439970,1.3008882,103.896421,438386
220,2025-09-07 06:01:32.450263+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: ECP (towards Changi Airport) at Tanah Merah Coast Road Entrance [10:20 hours]",20/3/2025,-1.00E+12,1116,ECP (towards Changi Airport) at Tanah Merah Coast Road Entrance,flash_flood_risk,East Coast Parkway towards Changi Airport,Tanah Merah Coast Road Entrance,,East Coast Parkway towards Changi Airport to Tanah Merah Coast Road Entrance,1.338224,103.980555,819665,1.318466,103.984457,498720
221,2025-09-07 06:01:31.96967+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Mountbatten Road/Jalan Seaview [01:31 hours]",22/3/2025,-1.00E+12,1123,Mountbatten Road/Jalan Seaview,flash_flood_risk,Mountbatten Road,Jalan Seaview,,Mountbatten Road and Jalan Seaview,1.3028098,103.8996285,439970,1.3008882,103.896421,438386
222,2025-09-07 06:01:30.533167+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Thomson Rd (Balestier Rd to Novena Rise) [00:37 hours]",23/3/2025,-1.00E+12,1133,Thomson Rd (Balestier Rd to Novena Rise),flash_flood_risk,balestier Road,novena rise,Thomson Road,Thomson Road (balestier Road to novena rise),1.3265878,103.8430003,329900,1.3242731,103.8429008,307516
