planning_area,category,category_norm,composite_score,composite_percentile,composite_rank,importance_label,confidence_label,model_spread,model_std_norm,dominant_model,laggard_model,rank_median,rank_mean,rank_spread,pareto_priority,model_min_norm,model_max_norm,2sfca_norm,2sfca_raw,rank_2sfca,cumulative_norm,cumulative_raw,rank_cumulative,hansen_norm,hansen_raw,rank_hansen
NOVENA,transport_services,transport_services,28.410989933707647,30.909090909090907,39.0,Priority for action,Low agreement,74.63223723867317,30.87157203273659,cumulative,hansen,32.0,28.333333333333332,25.0,False,0.1005871888077477,74.73282442748092,26.868497783138277,92.2919715173837,39.0,74.73282442748092,592.4,14.0,0.1005871888077477,8090.299185363132,32.0
ORCHARD,community_spaces,community_spaces,32.55174710644991,61.81818181818181,22.0,Priority for action,Low agreement,89.44435981199015,37.23101423115091,cumulative,hansen,31.0,23.666666666666668,28.0,False,0.006455307745871971,89.45081511973602,29.31929498035788,15.39062493643866,34.0,89.45081511973602,912.6666666666666,6.0,0.006455307745871971,205.402382637532,31.0
ORCHARD,education_institutions,education_institutions,33.47097102013069,56.36363636363636,25.0,Priority for action,Low agreement,88.13673990343639,36.4523673771564,cumulative,hansen,29.0,22.666666666666668,29.0,False,0.0026642562038611934,88.13940415964025,31.684581822682972,39.55571037151128,29.0,88.13940415964025,298.6666666666667,5.0,0.0026642562038611934,426.2829152696622,34.0
ORCHARD,emergency_services,emergency_services,13.915702506383692,58.18181818181818,24.0,Priority for action,Low agreement,60.605977217461,27.7627196039326,cumulative,hansen,23.0,27.666666666666668,32.0,False,8.338859960264578e-05,60.60606060606061,3.588930737183377,1.7944653685916885,46.0,60.60606060606061,5.0,14.0,8.338859960264578e-05,20.84716381552208,23.0
ORCHARD,essential_services,essential_services,36.76352568311555,61.81818181818181,22.0,Priority for action,Low agreement,91.63771822411896,37.64858633691968,cumulative,hansen,28.0,21.333333333333332,26.0,False,0.00619220733926963,91.64391043145822,36.86577186924425,71.77982752113827,28.0,91.64391043145822,279.6666666666667,5.0,0.00619220733926963,990.7643754732802,31.0
ORCHARD,transport_services,transport_services,65.14632897015514,100.0,1.0,Adequate,Low agreement,69.70734205968972,32.86035617926456,cumulative,2sfca,1.0,12.0,33.0,False,30.29265794031028,100.0,30.29265794031028,100.22684655454763,34.0,100.0,791.0,1.0,100.0,8002458.925473201,1.0
OUTRAM,community_spaces,community_spaces,21.795010998196286,29.09090909090909,40.0,Priority for action,Low agreement,63.9885292718148,26.946762674488134,cumulative,hansen,26.0,29.666666666666668,27.0,False,0.012254811298019277,64.00078408311282,17.98235547636863,9.439506945713234,45.0,64.00078408311282,653.0,18.0,0.012254811298019277,389.93763558308734,26.0
OUTRAM,education_institutions,education_institutions,27.269658100966396,38.18181818181819,35.0,Priority for action,Low agreement,52.568732109976146,23.039462875243252,cumulative,hansen,18.0,23.0,37.0,False,12.502937367258262,65.07166947723441,21.008885990684075,26.227943108931058,44.0,65.07166947723441,220.5,18.0,12.502937367258262,2000479.001465629,7.0
OUTRAM,emergency_services,emergency_services,23.76285246235327,94.54545454545455,4.0,Priority for action,Low agreement,99.99984695945186,45.470520576507006,cumulative,hansen,17.0,12.333333333333334,18.0,False,0.00015304054814586421,100.0,7.525613100377654,3.762806550188827,19.0,100.0,8.25,1.0,0.00015304054814586421,38.26016257398448,17.0
OUTRAM,essential_services,essential_services,26.71758159025044,30.909090909090907,39.0,Priority for action,Low agreement,69.29605806582006,28.603011525218776,cumulative,hansen,25.0,27.333333333333332,27.0,False,0.010331885026452924,69.30638995084652,25.70640806914639,50.05188943109336,42.0,69.30638995084652,211.5,15.0,0.010331885026452924,1653.1202937566295,25.0
OUTRAM,transport_services,transport_services,35.146475603767655,50.90909090909091,28.0,Priority for action,Low agreement,63.17425041971171,28.701040269786528,cumulative,2sfca,11.0,23.0,36.0,False,21.049668155351913,84.22391857506362,21.049668155351913,78.80788086749864,47.0,84.22391857506362,667.0,11.0,25.922859370263247,2074496.4649257616,11.0
PASIR RIS,community_spaces,community_spaces,76.68566759313865,100.0,1.0,Adequate,Low agreement,49.6965381251287,21.844975195208427,2sfca,hansen,2.0,8.0,20.0,False,50.3034618748713,100.0,100.0,52.49316174467848,1.0,57.97314515338626,591.5,21.0,50.3034618748713,1600613.221053976,2.0
PASIR RIS,education_institutions,education_institutions,45.06407596238323,83.63636363636363,10.0,Needs improvement,Low agreement,71.15493234979853,29.578159514191807,2sfca,hansen,23.0,20.333333333333332,28.0,False,0.007766871791716049,71.16269922159024,71.16269922159024,88.84103743004165,5.0,47.401981450252954,160.625,33.0,0.007766871791716049,1242.7050916124724,23.0
PASIR RIS,emergency_services,emergency_services,16.10637655853761,70.9090909090909,17.0,Priority for action,Low agreement,42.424122412016935,17.546673857525327,cumulative,hansen,21.0,17.333333333333332,21.0,False,0.00012001222548383877,42.42424242424242,15.242984140042964,7.621492070021482,5.0,42.42424242424242,3.5,26.0,0.00012001222548383877,30.00307639711914,21.0
PASIR RIS,essential_services,essential_services,41.00190721762755,70.9090909090909,17.0,Needs improvement,Low agreement,66.73956917598537,27.33850626316645,2sfca,hansen,30.0,24.666666666666668,30.0,False,0.006428546464666168,66.74599772245003,66.74599772245003,129.95838582294053,7.0,38.134898962315674,116.375,37.0,0.006428546464666168,1028.5790630546269,30.0
PASIR RIS,transport_services,transport_services,52.584988972378525,89.0909090909091,7.0,Needs improvement,Low agreement,67.5392499980527,27.594150689108968,2sfca,hansen,21.0,19.666666666666668,30.0,False,12.522067562110067,80.06131756016276,80.06131756016276,215.55676008780628,4.0,43.98854961832061,350.75,34.0,12.522067562110067,1002109.0846216364,21.0
PAYA LEBAR,community_spaces,community_spaces,30.935528932773547,58.18181818181818,24.0,Priority for action,Low agreement,44.81529104226295,20.63106946400118,2sfca,hansen,31.0,29.666666666666668,32.0,False,0.0012244497922248836,44.816515492055174,44.816515492055174,23.525605965573412,13.0,42.63451925904146,435.0,31.0,0.0012244497922248836,38.960947276890714,45.0
PAYA LEBAR,education_institutions,education_institutions,45.96889975763493,89.0909090909091,7.0,Needs improvement,Low agreement,65.80135442712094,30.91002628305191,2sfca,hansen,17.0,21.666666666666668,32.0,False,0.0009611480526023269,65.80231557517354,65.80231557517354,82.14901971036798,8.0,65.3372681281619,221.4,17.0,0.0009611480526023269,153.78438202575538,40.0
PAYA LEBAR,emergency_services,emergency_services,10.140585000074829,29.09090909090909,40.0,Priority for action,Low agreement,33.93935287372608,14.676256104983839,cumulative,hansen,35.0,34.0,13.0,True,4.106566785598399e-05,33.93939393939394,6.705387784991366,3.352693892495683,27.0,33.93939393939394,2.8,35.0,4.106566785598399e-05,10.266423816527972,40.0
PAYA LEBAR,essential_services,essential_services,43.888397647853225,76.36363636363637,14.0,Needs improvement,Low agreement,64.67885559105636,28.99262732518066,2sfca,hansen,22.0,23.666666666666668,33.0,False,0.001477197984133199,64.68033278904049,64.68033278904049,125.93641462530778,8.0,57.738940469688686,176.2,22.0,0.001477197984133199,236.35434959010007,41.0
PAYA LEBAR,transport_services,transport_services,44.77576601122248,76.36363636363637,14.0,Needs improvement,Low agreement,35.914824469694075,16.743219676914116,cumulative,hansen,14.0,17.0,9.0,False,20.03937400358837,55.954198473282446,55.146228230978956,157.82052367001904,14.0,55.954198473282446,444.8,23.0,20.03937400358837,1603675.3709373125,14.0
PIONEER,community_spaces,community_spaces,4.786960880393002,7.2727272727272725,52.0,Priority for action,High agreement,6.880178354686431,3.2296166881141315,cumulative,hansen,52.0,51.666666666666664,1.0,True,0.00015096022094978929,6.880329314907381,6.821699458690481,3.5809257305862503,52.0,6.880329314907381,70.2,51.0,0.00015096022094978929,4.803425380672776,52.0
PIONEER,education_institutions,education_institutions,7.599816141231446,14.545454545454545,48.0,Priority for action,High agreement,11.540075598182122,4.97309409847868,2sfca,hansen,50.0,49.0,3.0,True,0.0001234335776717865,11.540199031759794,11.540199031759794,14.407031567735292,47.0,9.148397976391232,31.0,50.0,0.0001234335776717865,19.749461502927893,50.0
PIONEER,emergency_services,emergency_services,9.528487304275071,23.636363636363637,43.0,Priority for action,Moderate agreement,26.666643291210388,11.133195134239205,cumulative,hansen,44.0,36.0,34.0,True,2.337545627838773e-05,26.666666666666668,8.390293916609707,4.1951469583048535,15.0,26.666666666666668,2.2,44.0,2.337545627838773e-05,5.8438679702046645,49.0
PIONEER,essential_services,essential_services,7.106578131723582,10.909090909090908,50.0,Priority for action,High agreement,11.19800214556294,4.661920624658492,2sfca,hansen,50.0,50.0,2.0,True,0.0002550484182189383,11.19825719398116,11.19825719398116,21.803665816960734,49.0,7.536865101037684,23.0,50.0,0.0002550484182189383,40.808208276491506,51.0
PIONEER,transport_services,transport_services,65.05722542014178,98.18181818181819,2.0,Adequate,Low agreement,36.91682520292257,15.076229139947094,2sfca,cumulative,5.0,15.333333333333334,33.0,False,40.81424936386769,77.73107456679026,77.73107456679026,210.15684124349943,5.0,40.81424936386769,325.8,37.0,60.09612754657705,4809184.240145962,4.0
PUNGGOL,community_spaces,community_spaces,22.55233230817324,30.909090909090907,39.0,Priority for action,High agreement,0.4031424416954188,0.16606150228798972,2sfca,cumulative,40.0,29.0,41.0,True,22.304364262611838,22.707506704307256,22.707506704307256,11.919888222475718,40.0,22.304364262611838,227.57142857142856,44.0,22.45902034499082,714626.8578002219,3.0
PUNGGOL,education_institutions,education_institutions,43.10613980929995,80.0,12.0,Needs improvement,Low agreement,31.631196383770636,14.37857537821484,2sfca,hansen,14.0,14.333333333333334,25.0,False,21.44454295768734,53.075739341457975,53.075739341457975,66.26088944123431,14.0,50.67453625632379,171.71428571428572,27.0,21.44454295768734,3431142.348615032,2.0
PUNGGOL,emergency_services,emergency_services,5.476211533033055,12.727272727272727,49.0,Priority for action,Moderate agreement,19.047548858143784,8.3056776845707,cumulative,hansen,47.0,41.333333333333336,21.0,True,7.018947526333219e-05,19.047619047619047,3.3333333333333335,1.6666666666666667,47.0,19.047619047619047,1.5714285714285714,49.0,7.018947526333219e-05,17.547380528186665,28.0
PUNGGOL,essential_services,essential_services,51.53283702336621,83.63636363636363,10.0,Needs improvement,Moderate agreement,15.00698336609355,6.26668231648064,2sfca,hansen,14.0,14.666666666666666,24.0,False,43.08770765651812,58.09469102261167,58.09469102261167,113.1137825158568,14.0,47.79589607552469,145.85714285714286,27.0,43.08770765651812,6894111.16713684,3.0
PUNGGOL,transport_services,transport_services,25.78340436612335,23.636363636363637,43.0,Priority for action,Moderate agreement,19.543494019626472,8.341437375614527,cumulative,hansen,36.0,32.0,24.0,True,14.407796420213579,33.95129043984005,29.341614704182533,98.02297498101522,36.0,33.95129043984005,271.85714285714283,42.0,14.407796420213579,1153012.9908277732,18.0
QUEENSTOWN,community_spaces,community_spaces,32.07411194880957,60.0,23.0,Priority for action,Low agreement,55.04952398504996,22.955817739966655,cumulative,hansen,19.0,19.666666666666668,4.0,False,2.338825846698878,57.38834983174883,39.78958845690028,20.886813026222583,18.0,57.38834983174883,585.5333333333333,22.0,2.338825846698878,74419.44217042143,19.0
QUEENSTOWN,education_institutions,education_institutions,29.87826918362154,45.45454545454545,31.0,Priority for action,Low agreement,36.84796866029524,15.043176520416557,cumulative,hansen,29.0,21.666666666666668,24.0,False,13.340339377928498,50.18830803822373,31.67701152519649,39.54625945003543,30.0,50.18830803822373,170.06666666666666,29.0,13.340339377928498,2134463.927481319,6.0
QUEENSTOWN,emergency_services,emergency_services,15.800844366356209,69.0909090909091,18.0,Priority for action,Low agreement,59.79790323359819,26.564045167847137,cumulative,hansen,17.0,19.333333333333332,9.0,False,7.656438161441228e-05,59.79797979797981,7.6824508748915274,3.841225437445764,17.0,59.79797979797981,4.933333333333334,16.0,7.656438161441228e-05,19.141108179722405,25.0
