id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code,start_planning_area,start_planning_area_id,start_subzone,start_subzone_id,start_street_name,start_street_id,end_planning_area,end_planning_area_id,end_subzone,end_subzone_id,end_street_name,end_street_id
97,,18/6/2017,DAIRY FARM ROAD,flash_flood,,,,,1.353493,103.787868,289759,,,,CENTRAL WATER CATCHMENT,000007,CENTRAL WATER CATCHMENT,000294,BUKIT TIMAH EXPRESSWAY,046840,,,,,,
98,,14/7/2017,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,,HOUGANG,000011,LORONG AH SOO,000186,TAMPINES ROAD,013554,,,,,,
99,,14/7/2017,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,,ORCHARD,000045,TANGLIN,000142,TOMLINSON ROAD,039836,,,,,,
100,,7/10/2017,BISHAN MRT STATION,flash_flood,,,,,1.350706,103.848079,579827,,,,BISHAN,000051,BISHAN EAST,000178,BISHAN ROAD,029586,,,,,,
101,,7/10/2017,BRADDEL MRT STATION,flash_flood,,,,,1.340605,103.847231,319758,,,,TOA PAYOH,000029,BRADDELL,000205,LORONG 2 TOA PAYOH,041286,,,,,,
102,,30/10/2017,STAMFORD ROAD,flash_flood,,,,,1.294094,103.850124,178892,,,,MUSEUM,000043,BRAS BASAH,000078,HILL STREET,042721,,,,,,
103,,30/10/2017,VICTORIA STREET,flash_flood,,,,,1.300563,103.855781,188045,,,,ROCHOR,000035,VICTORIA,000048,VICTORIA STREET,041901,,,,,,
104,,30/10/2017,MOUNT ELIZABETH,flash_flood,,,,,1.32211,103.844317,329562,,,,NOVENA,000025,BALESTIER,000175,IRRAWADDY ROAD,058067,,,,,,
105,,9/11/2017,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,,HOUGANG,000011,LORONG AH SOO,000186,TAMPINES ROAD,013554,,,,,,
106,,18/11/2017,MANDAI ROAD,flash_flood,,,,,1.40743,103.783828,729979,,,,CENTRAL WATER CATCHMENT,000007,CENTRAL WATER CATCHMENT,000294,MANDAI LAKE ROAD,058239,,,,,,
107,,18/11/2017,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,,,,YISHUN,000055,YISHUN WEST,000316,YISHUN AVENUE 2,008540,,,,,,
108,,22/11/2017,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,,ORCHARD,000045,TANGLIN,000142,TOMLINSON ROAD,039836,,,,,,
109,,22/11/2017,40191 (BUS STOP),flash_flood,,,,,1.312686,103.830427,259978,,,,NEWTON,000044,ORANGE GROVE,000063,STEVENS ROAD,043343,,,,,,
110,,15/12/2017,PASIR RIS FARMWAY,flash_flood,,,,,1.385908,103.934912,518221,,,,PASIR RIS,000014,PASIR RIS WAFER FAB PARK,000242,PASIR RIS DRIVE 12,058347,,,,,,
111,,8/1/2018,TAMPINES ROAD,flash_flood,,,,,1.362843,103.966929,509733,,,,PASIR RIS,000014,FLORA DRIVE,000187,OLD TAMPINES ROAD,013253,,,,,,
