id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id
308,marketplace,tekka wet market,210665,1.306521,103.8504828,1,35,107,2535
309,fast_food,king of braise,529538,1.3536372,103.9449647,9,47,185,38366
310,fast_food,u taste express,520512,1.3539328,103.9433039,9,47,185,42577
311,dentist,tsd dental group (tampines),520510,1.3549877,103.9444193,6,47,185,37794
312,food_court,ntwu canteen,520512,1.3538726,103.9428606,1,47,185,42577
313,language_school,hua cheng,528833,1.3427176,103.9532054,2,47,196,42549
314,restaurant,jinshangyipin,528833,1.3426956,103.9527253,9,47,196,42549
315,fast_food,qiji,528833,1.3431225,103.9530671,9,47,196,42549
316,restaurant,sanook kitchen,528833,1.3424551,103.9529308,9,47,196,42549
317,restaurant,nandhana's,528833,1.3424065,103.9531845,9,47,196,42549
318,bank,posb,528833,1.3430387,103.9529582,4,47,196,42547
319,cafe,koi the,528833,1.3423546,103.9531931,9,47,196,42549
320,marketplace,bedok 511 wet market,460511,1.3332446,103.9307142,1,1,95,43128
321,marketplace,holland village market,277700,1.3110194,103.7947603,1,17,227,12800
322,marketplace,haig road market,430013,1.3151312,103.8955794,1,53,121,247
323,marketplace,bedok 538 market,460538,1.3320152,103.9246425,1,1,95,37683
324,marketplace,marine parade market,440084,1.3021808,103.9063431,1,39,143,45674
325,food_court,tangs market,238864,1.3052319,103.8327888,1,45,73,66
326,marketplace,chong boon market,561453,1.3682726,103.8563682,1,52,163,17761
327,restaurant,shi li fang,528833,1.3424608,103.9532523,9,47,196,42549
328,prep_school,salford learning centre,528833,1.3426389,103.9532234,2,47,196,42549
329,restaurant,takagi ramen,528833,1.3430411,103.9531209,9,47,196,42549
330,restaurant,andes,528833,1.3423233,103.9530522,9,47,196,42549
331,dentist,pan island dental surgery,470632,1.3325618,103.9142633,6,1,211,37718
332,restaurant,isteaks @ myvillage,556679,1.364942,103.865216,9,21,164,35403
333,pharmacy,imperial tcm pte. ltd.,440081,1.3024933,103.9071637,6,39,143,45674
334,clinic,low & lee clinic & surgery,460055,1.3272878,103.919211,6,1,149,41814
335,clinic,familycare clinic and surgery,460055,1.3271135,103.918916,6,1,149,41814
336,fast_food,subway,208539,1.3112254,103.8563754,9,22,117,9812
337,clinic,united health family clinic & surgery,760627,1.4176987,103.8371166,6,55,268,29146
338,bank,hsbc,238890,1.2994855,103.8457552,4,43,92,9260
339,restaurant,madrinaa italiano,278116,1.3113701,103.796643,9,6,120,3048
340,bus_station,tuas checkpoint,639937,1.3480067,103.6353252,11,30,176,21739
341,restaurant,non neng ji,049318,1.2842755,103.8523812,9,40,5,679
342,restaurant,royal bbq & grill,208904,1.3092657,103.8576924,9,22,117,482
343,post_office,towner post office,322101,1.3190441,103.860798,4,22,174,305
344,social_facility,touch home care centre,310173,1.3299837,103.8422658,1,29,96,20744
345,place_of_worship,ramakrishna mission,539784,1.3437009,103.8798145,1,21,201,18584
346,taxi,national cancer centre singapore entrance,169610,1.2791693,103.8366821,11,4,46,2030
347,taxi,sgh block 4 entrance,169608,1.279353,103.8353518,11,4,46,2032
348,cafe,the coffee bean & tea leaf,169608,1.2795453,103.835112,9,4,46,2032
349,parking,west entrance,168582,1.2778949,103.8349811,11,4,46,11864
350,restaurant,koufu,168582,1.2774512,103.8352012,9,4,46,11864
351,restaurant,kopitiam,169608,1.2799813,103.8345529,9,4,46,2037
352,cafe,kaffe & toast,169609,1.2788501,103.8359854,9,4,46,11858
353,restaurant,genki sushi,038983,1.2954542,103.8579804,9,40,77,6783
354,bank,uob,069544,1.2798985,103.8482697,4,40,41,574
