id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,start_pa_id,start_sz_id,start_rn_id,origin_lat,origin_lng,end100_a_lat,end100_a_lng,end100_b_lat,end100_b_lng,end_lat,end_lng,end_postal_code,end_pa_id,end_sz_id,end_rn_id,origin_rn_id,origin_pa_id,origin_sz_id,start_rn_id2,start_pa_id3,start_sz_id4,end_rn_id5,end_pa_id6,end_sz_id7,end100_a_rn_id,end100_a_pa_id,end100_a_sz_id,end100_b_rn_id,end100_b_pa_id,end100_b_sz_id
76,,24/12/2016,NEWTON CIRCUS,flash_flood,,,,,1.313224,103.838945,307943,44,108,7358,1.313247397,103.8389285,1.3130024,103.8387115,1.3134317,103.8392881,,,,0,0,0,7358,44,108,7358,44,108,,,,543,44,108,12513,44,108
77,,19/1/2017,53041 (BUS STOP),flash_flood,,,,,1.353078,103.834364,574359,51,328,27356,1.353026719,103.8343201,1.35241864,103.8349841,1.3530769,103.8337355,,,,0,0,0,27356,51,328,27356,51,328,,,,27356,51,328,22150,51,328
78,,23/1/2017,134 TANJONG PAGAR ROAD,flash_flood,,,,,1.277471,103.843403,88534,46,3,1568,1.277379347,103.8433866,1.2774862,103.8429239,1.2773463,103.8435365,,,,0,0,0,9780,46,3,1568,46,3,,,,1567,46,3,9788,40,33
79,,23/1/2017,MAXWELL FOOD CENTRE,flash_flood,,,,,1.280331,103.844747,88437,40,40,8473,1.280101913,103.8444636,1.2803997,103.8441945,1.2797682,103.8447494,,,,0,0,0,8473,46,3,8473,46,3,,,,8472,46,3,8473,46,3
80,,3/2/2017,TAMPINES STREET 22,flash_flood,,,,,1.349038,103.951095,520272,47,185,42554,1.349037106,103.9510899,1.349459,103.9509683,1.348146733,103.9511771,,,,0,0,0,38811,47,185,38811,47,185,,,,38811,47,185,38811,47,185
81,,3/2/2017,LORONG HALUS,flash_flood,,,,,1.386169,103.923226,533850,14,242,42801,1.386168073,103.9232304,1.387057884,103.9233858,1.385283402,103.9230439,,,,0,0,0,42801,14,242,42801,14,242,,,,38296,14,242,42801,14,242
82,,4/2/2017,TAMPINES FLYOVER,flash_flood,,,,,1.381657,103.917491,520175,54,229,42891,1.3813614,103.9173899,1.380880771,103.9181417,1.381043049,103.916595,,,,0,0,0,42891,20,231,42891,20,231,,,,42891,20,231,42891,20,231
83,,4/2/2017,BEDOK NORTH FLYOVER,flash_flood,,,,,1.332028,103.920369,460540,1,95,37644,1.331708941,103.9201316,1.3321206,103.9197716,1.331773236,103.9209381,,,,0,0,0,37644,1,149,37644,1,149,,,,40918,1,149,37644,1,149
84,,8/2/2017,TOA PAYOH LORONG 1,flash_flood,,,,,1.338046,103.844734,310127,29,210,26287,1.338257054,103.8438268,1.338644,103.8439116,1.337371535,103.843649,,,,0,0,0,26287,29,210,26287,29,210,,,,22671,29,210,26287,29,210
85,,8/2/2017,TOA PAYOH LORONG 2,flash_flood,,,,,1.336287,103.846514,319640,29,96,22531,1.336228467,103.8462515,1.3370096,103.8461347,1.335400729,103.8466057,,,,0,0,0,22531,29,96,22531,29,96,,,,22531,29,96,22531,29,96
